Unnamed: 0,Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
761,ringme R1 PRO 1,3.6,12 Ratings & 0 Reviews,32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,1MP Rear Camera,2000 mAh Battery,,,"₹1,259","₹2,999",58% off,Super Deals,
762,"REDMI A5 (Pondicherry Blue, 64 GB)",4.1,"5,144 Ratings & 231 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery,T7250 Processor,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"₹6,499","₹8,999",27% off,Bank Offer,"₹4,900"
763,"Infinix HOT 60i 5G (Sleek Black, 128 GB)",4.3,934 Ratings & 68 Reviews,4 GB RAM | 128 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹9,499","₹11,999",20% off,Bank Offer,"₹7,300"
764,"Infinix HOT 60i 5G (Shadow Blue, 128 GB)",4.3,934 Ratings & 68 Reviews,4 GB RAM | 128 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹9,499","₹11,999",20% off,Bank Offer,"₹7,300"
765,"Apple iPhone 16 Pro Max (Natural Titanium, 512 GB)",4.7,"15,395 Ratings & 803 Reviews",,17.53 cm (6.9 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,,"A18 Pro Chip, 6 Core Processor Processor",,"₹1,54,900",,,Bank Offer,"₹55,250"
766,"Infinix HOT 60i 5G (Monsoon Green, 128 GB)",4.3,934 Ratings & 68 Reviews,4 GB RAM | 128 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹9,499","₹11,999",20% off,Bank Offer,"₹7,300"
767,"Samsung Galaxy M16 5G (Thunder Black, 128 GB)",4.2,"1,066 Ratings & 54 Reviews",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,699","₹14,999",8% off,Bank Offer,"₹10,600"
768,"OPPO F29 Pro 5G (Marble White, 128 GB)",4.4,"1,647 Ratings & 121 Reviews",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7300 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹19,970","₹32,999",39% off,Bank Offer,"₹15,700"
769,"REDMI 14C 5G (Stargaze Black, 128 GB)",4.2,"7,758 Ratings & 387 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹9,999","₹13,999",28% off,,"₹7,700"
770,"Redmi 6 (Rose Gold, 32 GB)",4.4,"5,57,823 Ratings & 39,689 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹6,499","₹8,999",27% off,Bank Offer,
